code,term
162690006,On examination - obese
162863004,Body mass index 25-29 - overweight
162864005,Body mass index 30+ - obesity
190966007,Extreme obesity with alveolar hypoventilation
310252000,Body mass index less than 20
35425004,Normal body mass index
408512008,Body mass index 40+ - severely obese
412768003,Body mass index 20-24 - normal
414915002,Obese
427090001,Body mass index less than 16.5
443371000124107,Obese class I
443381000124105,Obese class II
48499001,Increased body mass index
6497000,Decreased body mass index
722595002,Overweight in adulthood with body mass index of 25 or more but less than 30
788996008,Obesity in adolescence
819948005,Obese class III
914721000000105,Obese class I (body mass index 30.0 - 34.9)
914731000000107,Obese class II (body mass index 35.0 - 39.9)
914741000000103,Obese class III (body mass index equal to or greater than 40.0)
920141000000102,Child body mass index less than 0.4th centile
920161000000101,Child body mass index 0.4th-1.9th centile
920181000000105,Child body mass index on 2nd centile
920201000000109,Child body mass index 3rd-8th centile
920231000000103,Child body mass index on 9th centile
920251000000105,Child body mass index 10th-24th centile
920271000000101,Child body mass index on 25th centile
920291000000102,Child body mass index 26th-49th centile
920311000000101,Child body mass index on 50th centile
920841000000108,Child body mass index 51st-74th centile
920931000000108,Child body mass index on 75th centile
920951000000101,Child body mass index 76th-90th centile
920971000000105,Child body mass index on 91st centile
920991000000109,Child body mass index 92nd-97th centile
921011000000105,Child body mass index on 98th centile
921031000000102,Child body mass index 98.1st-99.6th centile
921051000000109,Child body mass index greater than 99.6th centile
